"Text.Cleaning","Tokenization","Normalization","Stop.Words.Removal","Spell.Checking","Stemming","Lemmatization"
"features","features","features","features","features","featur","feature"
"pricing","pricing","pricing","pricing","pricing","price","price"
"resources","resources","resources","resources","resources","resourc","resource"
"more","ineffective","ineffective","ineffective","ineffective","ineffect","ineffective"
"ineffective","strategic","strategic","strategic","strategic","strateg","strategic"
"strategic","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"decision-making","costly","costly","costly","costly","costli","costly"
"is","McKinney","McKinney","McKinney","McKinney","mckinsei","mckinsey"
"costly.","time","time","time","time","time","time"
"per","spent","spent","spent","spent","spent","spend"
"mckinsey,","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"50%","inefficient","inefficient","inefficient","inefficient","ineffici","inefficient"
"of","estimated","estimated","estimated","estimated","estim","estimate"
"the","business","business","business","business","busi","business"
"time","million","million","million","million","million","million"
"spent","average","average","average","average","averag","average"
"on","fortune","fortune","fortune","fortune","fortun","fortune"
"decision-making","company","company","company","company","compani","company"
"was","short term","short term","short term","short term","shortterm","shortterm"
"inefficient,","loss","loss","loss","loss","loss","loss"
"with","company","company","company","company","compani","companys"
"an","long term","long term","long term","long term","longterm","longterm"
"estimated","health","health","health","health","health","health"
"business","jeopardy","jeopardy","jeopardy","jeopardy","jeopardi","jeopardy"
"value","strategic","strategic","strategic","strategic","strateg","strategic"
"of","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"$250","process","process","process","process","process","process"
"million","improve","improve","improve","improve","improv","improve"
"for","long term","long term","long term","long term","longterm","longterm"
"the","plans","plans","plans","plans","plan","plan"
"average","choices","choices","choices","choices","choic","choice"
"fortune","tough","tough","tough","tough","tough","tough"
"500","function","function","function","function","function","function"
"company.","fraught","fraught","fraught","fraught","fraught","fraught"
"aside","risk","risk","risk","risk","risk","risk"
"from","uncertainty","uncertainty","uncertainty","uncertainty","uncertainti","uncertainty"
"the","ambiguity","ambiguity","ambiguity","ambiguity","ambigu","ambiguity"
"short-term","complexity","complexity","complexity","complexity","complex","complexity"
"loss,","additionally","additionally","additionally","additionally","addition","additionally"
"the","barriers","barriers","barriers","barriers","barrier","barrier"
"company's","time","time","time","time","time","time"
